author/url,author/userName,createdAt,text,url
https://x.com/ABGPerc,ABGPerc,Fri Mar 31 20:39:33 +0000 2017,There's nothing quite like leaving wind orchestra to go poop and scroll through twitter.,https://x.com/ABGPerc/status/847911263741108225
https://x.com/RecoveringABG,RecoveringABG,Fri Mar 31 20:37:37 +0000 2017,I cry about my dog's pending mortality at least twice a week,https://x.com/RecoveringABG/status/847910778501963776
https://x.com/TeeOneZeeABG,TeeOneZeeABG,Fri Mar 31 20:31:04 +0000 2017,@CP24 This guy is a total dork. He doesnt have to care about the citizens wellbeing,https://x.com/TeeOneZeeABG/status/847909131205980162
https://x.com/marlene_abg,marlene_abg,Fri Mar 31 20:28:13 +0000 2017,True story *se arma bardo* https://t.co/RedHjQl3ru,https://x.com/marlene_abg/status/847908411471790082
https://x.com/TeeOneZeeABG,TeeOneZeeABG,Fri Mar 31 20:25:47 +0000 2017,@mic That's everyone's solution to everything in life.. just run away. 😂,https://x.com/TeeOneZeeABG/status/847907801460592640
https://x.com/gibbsbklyn,gibbsbklyn,Fri Mar 31 20:25:45 +0000 2017,@darth @bettycrackerfl What a spoiled 👶 !!!,https://x.com/gibbsbklyn/status/847907791033561088
https://x.com/theproperkeeno,theproperkeeno,Tue Mar 14 04:42:11 +0000 2017,"if deemed necessary I could make an Asian baby girl or a red headed white baby boy, amazing lol",https://x.com/theproperkeeno/status/841509740396052480
https://x.com/lynnqyu,lynnqyu,Tue Mar 07 04:37:20 +0000 2017,"#HOOC outtake #9:

ABG = Asian Baby Girl, the female counterpart to a “fuckboi.” ABG’s love… https://t.co/vlWGTKFPnj",https://x.com/lynnqyu/status/838971803749928960
https://x.com/jahnadinh,jahnadinh,Mon Mar 06 21:46:59 +0000 2017,"@DylGarrison LMAOOOO ""Asian baby girl"" Dyl 😂",https://x.com/jahnadinh/status/838868535925362688
https://x.com/KellyNguyennn,KellyNguyennn,Sat Mar 04 02:10:57 +0000 2017,ABG means asian baby girl btw https://t.co/74zgJjLllP,https://x.com/KellyNguyennn/status/837847804332687360
https://x.com/junmyne,junmyne,Sat Mar 04 02:06:19 +0000 2017,ooohh asian baby girl HAHAHAHAHA SHIT,https://x.com/junmyne/status/837846636109783040
https://x.com/plagalkey,plagalkey,Sat Mar 04 01:56:11 +0000 2017,@jeongau @barutwt asian baby girl,https://x.com/plagalkey/status/837844086761508864
https://x.com/asdfjveeee,asdfjveeee,Fri Mar 03 15:30:55 +0000 2017,@MonsieurDiana asian baby girl lmao,https://x.com/asdfjveeee/status/837686732036403200
https://x.com/TheHumanimal,TheHumanimal,Fri Mar 03 12:08:03 +0000 2017,@Thatshadyfeelin Asian Baby Girl,https://x.com/TheHumanimal/status/837635679253323777
https://x.com/coolstoryaniki,coolstoryaniki,Fri Mar 03 08:16:34 +0000 2017,@qbnoyouko the format is messed up on my phone but it is Asian Baby Girl,https://x.com/coolstoryaniki/status/837577425055711232
https://x.com/qbnoyouko,qbnoyouko,Fri Mar 03 08:14:38 +0000 2017,@coolstoryaniki Is it the second def? (Asian Baby Girl?) I've never heard of it before.,https://x.com/qbnoyouko/status/837576939346911233
https://x.com/sehunsmother,sehunsmother,Fri Mar 03 04:53:38 +0000 2017,@sehunola asian baby girl,https://x.com/sehunsmother/status/837526356363653120
https://x.com/asian5ever,asian5ever,Mon Feb 27 06:37:55 +0000 2017,"Brooke: ""what's an abg""
Me: ""asian baby girl.""
Brooke: ""oh. I googled it, and I got 'arterial blood gas.'""",https://x.com/asian5ever/status/836103047717609472
https://x.com/audreygraham_,audreygraham_,Fri Feb 24 20:41:37 +0000 2017,Would it be cultural appropriation if I drew a knife on my forehead for @21savage 's concert. Serious question as an asian baby girl fan.,https://x.com/audreygraham_/status/835228207255171072
